"filename", "language", "JSON", "HTML", "YAML", "Dart", "Markdown", "C++", "Swift", "Ruby", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\package-lock.json", "JSON", 2807, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2808
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\public\index.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 90
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\pubspec.yaml", "YAML", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 53, 10, 104
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\index.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 43
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 3184, 102, 47, 3956, 44, 565, 68, 66, 482, 8, 70, 636, 1021, 10249
